"","App","Category","Rating","Reviews","Size","Installs","Price","Content.Rating","Android.Ver","Everyone","Mature_17+","Teen","success"
"9870","YouCamp EU","TRAVEL_AND_LOCAL",3.4,3536,32,1000,2.56,"Everyone",2.2,1,0,0,"No"
"9871","EU Economy","PRODUCTIVITY",3.6,4033,879,5000,0,"Everyone",4.2,1,0,0,"No"
"9873","EU Data Protection","BOOKS_AND_REFERENCE",3.5,2747,17,1000,0,"Everyone",4.03,1,0,0,"No"
"9874","Flag Of European Union LWP","PERSONALIZATION",4.3,5699,4.2,1000,0,"Everyone",4.03,1,0,0,"No"
"9876","Council Voting Calculator","COMMUNICATION",3.9,3102,3.4,5000,0,"Everyone",4.1,1,0,0,"No"
"9877","EU Flags Live Wallpaper","PERSONALIZATION",4.3,3887,12,10000,0.99,"Everyone",2.1,1,0,0,"No"
"9878","EU FTL Calculator","BUSINESS",3.6,4687,1.8,10000,0,"Everyone",4.1,1,0,0,"No"
"9880","Passenger rights","TRAVEL_AND_LOCAL",3.9,3879,2.5,50000,0,"Everyone",4.03,1,0,0,"No"
"9881","EU Mobile Money Partenaire Commercial","FINANCE",4.3,5096,3.9,10000,0,"Everyone",4.03,1,0,0,"No"
"9882","Eurostat Country Profiles","PRODUCTIVITY",3.7,5668,2,10000,0,"Everyone",4.03,1,0,0,"No"
"9884","My EU","FAMILY",3.8,3589,13,100,0,"Everyone",4.1,1,0,0,"No"
"9886","R-EU-READY","GAME",4.1,661,16,500,0,"Everyone",2.2,1,0,0,"No"
"9887","taxi.eu","TRAVEL_AND_LOCAL",4.1,1574,22,1e+05,0,"Everyone",4.4,1,0,0,"No"
"9888","CVRIA","BUSINESS",4.7,5017,3.5,10000,0,"Everyone",4.4,1,0,0,"No"
"9891","TAXLANDIA","FAMILY",1.9,861,65,1000,0,"Everyone",4.3,1,0,0,"No"
"9892","European Solidarity Corps","SOCIAL",3.6,5743,21,1000,0,"Teen",4.4,0,0,1,"No"
"9893","Have your say on Europe","COMMUNICATION",3.8,1627,21,500,0,"Everyone",4.1,1,0,0,"No"
"9895","Doorstep EU","NEWS_AND_MAGAZINES",4.5,4982,12,1000,0,"Everyone",4.1,1,0,0,"No"
"9898","Invasive Alien Species Europe","FAMILY",4.5,661,13,1000,0,"Everyone",4.4,1,0,0,"No"
"9900","EU Exit poll","LIFESTYLE",5,3,9.4,100,0,"Everyone",4.1,1,0,0,"No"
"9901","Schengen/EU App","TOOLS",4,2231,11,1000,0,"Everyone",4.1,1,0,0,"No"
"9905","Brexit EU","FAMILY",4.4,5095,7.5,500,0,"Everyone",2.3,1,0,0,"No"
"9907","EU Life Explorer","NEWS_AND_MAGAZINES",4,1745,12,50,0,"Everyone",4.1,1,0,0,"No"
"9909","EU VAT Checker","BUSINESS",3.1,5095,39,1000,0,"Everyone",1.6,1,0,0,"No"
"9912","daskal.eu","FAMILY",5,4207,15,50,0,"Everyone",4.4,1,0,0,"No"
"9923","Inbox.eu","COMMUNICATION",3.7,5947,9.7,10000,0,"Everyone",4.3,1,0,0,"No"
"9924","CALIOPE EU: Air Quality","HEALTH_AND_FITNESS",3.9,1874,2.2,1000,0,"Everyone",4,1,0,0,"No"
"9927","Going Abroad","FAMILY",3,4707,42,50000,0,"Everyone",4,1,0,0,"No"
"9933","Campervan.Guide Pro","TRAVEL_AND_LOCAL",4.2,2212,67,10000,5.99,"Everyone",4.1,1,0,0,"No"
"9934","Qserve EU MDR First Aid","BUSINESS",3,1745,17,100,0,"Everyone",4.1,1,0,0,"No"
"9937","Strawberry Shortcake Ice Cream Island","FAMILY",4.2,3033,15,5e+06,0,"Everyone",4.1,1,0,0,"Yes"
"9940","Rail Planner Eurail/Interrail","MAPS_AND_NAVIGATION",4.2,3331,31,1e+06,0,"Everyone",4,1,0,0,"Yes"
"9941","eu sou franky","BUSINESS",3.7,1694,4,10000,0,"Everyone",4,1,0,0,"No"
"9943","efootwear.eu - online store","SHOPPING",4.5,5815,8.6,1e+05,0,"Everyone",4.4,1,0,0,"No"
"9944","ChargeHub - Find EV & Tesla Charging Stations","MAPS_AND_NAVIGATION",4.6,5428,25,50000,0,"Everyone",4.03,1,0,0,"No"
"9945","PlugShare","MAPS_AND_NAVIGATION",4.7,3927,26,1e+05,0,"Teen",4.03,0,0,1,"No"
"9946","NEXTCHARGE - Charging Stations","MAPS_AND_NAVIGATION",4.3,5722,6.4,50000,0,"Everyone",4.1,1,0,0,"No"
"9947","NissanConnectÂ® EV & Services","LIFESTYLE",2.3,5611,88,50000,0,"Everyone",4.4,1,0,0,"No"
"9948","EV Connect","MAPS_AND_NAVIGATION",2.8,2344,5.8,1000,0,"Everyone",5,1,0,0,"No"
"9949","HondaLink EV","TOOLS",2.8,3868,41,10000,0,"Everyone",2.3,1,0,0,"No"
"9950","EV Stations Hawaii","MAPS_AND_NAVIGATION",3.6,5095,2.5,1000,0,"Everyone",4.1,1,0,0,"No"
"9952","EV Trip Optimizer for Tesla","AUTO_AND_VEHICLES",3.2,3987,6.6,1000,0,"Everyone",4.1,1,0,0,"No"
"9953","JuiceNet - Smart EV Charging","MAPS_AND_NAVIGATION",3.5,170,24,5000,0,"Everyone",4,1,0,0,"No"
"9954","Zap-Map: EV charging points UK","MAPS_AND_NAVIGATION",3.8,1491,9.8,10000,0,"Everyone",4.1,1,0,0,"No"
"9955","EV Charging","MAPS_AND_NAVIGATION",3.5,5442,32,1000,0,"Everyone",4.1,1,0,0,"No"
"9956","Simple EV Calc","PRODUCTIVITY",4.2,156,72,1000,0,"Everyone",4.4,1,0,0,"No"
"9958","Electric Car Charging Points: Ev charger Stations","MAPS_AND_NAVIGATION",4.5,5442,8.1,100,0,"Everyone",4.1,1,0,0,"No"
"9959","ELMO EV Charging","MAPS_AND_NAVIGATION",3.4,846,6.2,1000,0,"Everyone",4.03,1,0,0,"No"
"9960","Bolt - EV Charging Service","AUTO_AND_VEHICLES",3,5743,8.4,100,0,"Everyone",5,1,0,0,"No"
"9961","To-U - free EV public charging","TRAVEL_AND_LOCAL",4.4,5265,19,1000,0,"Everyone",4.1,1,0,0,"No"
"9962","Light Meter - EV","PHOTOGRAPHY",4,2463,8.5,1000,0,"Everyone",4.4,1,0,0,"No"
"9964","EV Finder","TOOLS",4.3,2747,23,1000,0,"Everyone",2.3,1,0,0,"No"
"9966","EV Real Estate Search","LIFESTYLE",4.1,5699,20,5000,0,"Everyone",4.03,1,0,0,"No"
"9967","Ev Dizayn","LIFESTYLE",3.6,2857,5.2,5000,0,"Everyone",4,1,0,0,"No"
"9969","Builder Craft: House Building & Exploration","FAMILY",4.2,1848,52,1e+06,0,"Everyone",4.1,1,0,0,"Yes"
"9970","Texas Hold'em EV Calculator","TOOLS",3.7,4686,1.3,1000,0,"Everyone",2.3,1,0,0,"No"
"9971","Bird - Enjoy The Ride","TRAVEL_AND_LOCAL",4.3,2509,25,5e+05,0,"Everyone",4.4,1,0,0,"Yes"
"9974","German Vocabulary Trainer","FAMILY",3.3,502,1,1e+05,0,"Everyone",2.1,1,0,0,"No"
"9975","REV Robotic Enhance Vehicles","FAMILY",4.4,2412,61,1e+05,0,"Everyone",4.4,1,0,0,"No"
"9978","Electric Car Taxi Driver: NY City Cab Taxi Games","FAMILY",4,4628,54,1e+06,0,"Everyone",4,1,0,0,"Yes"
"9979","EV Calculator","TOOLS",4.9,5600,19,1000,0,"Everyone",4.1,1,0,0,"No"
"9980","Home Decoration Game","FAMILY",4,1433,19,5e+06,0,"Everyone",4,1,0,0,"Yes"
"9982","PokeType - Dex","FAMILY",4.6,3384,33,5e+05,0,"Everyone",4.1,1,0,0,"Yes"
"9984","Survival Forest : Survivor Home Builder","FAMILY",3.6,5843,64,1e+06,0,"Teen",4,0,0,1,"Yes"
"9985","Room Creator Interior Design","HOUSE_AND_HOME",3.9,4666,72,1e+06,0,"Everyone",2.3,1,0,0,"Yes"
"9986","Doll House Design & Decoration 2: Girls House Game","FAMILY",3.9,2169,45,1e+05,0,"Everyone",4.1,1,0,0,"No"
"9988","eCooltra: scooter sharing. Share electric scooters","TRAVEL_AND_LOCAL",4.2,2676,27,1e+05,0,"Everyone",4.1,1,0,0,"No"
"9989","Design Home","FAMILY",4.4,4405,69,1e+07,0,"Everyone",4.2,1,0,0,"Yes"
"9992","PeopleTV - Watch Celebrity News","FAMILY",4.3,2027,8.6,1e+05,0,"Teen",4.1,0,0,1,"No"
"9999","Water Surfer Racing In Moto","GAME",4.3,2037,36,1e+06,0,"Everyone",2.3,1,0,0,"Yes"
"10002","EW Widgets for Zooper","TOOLS",3.4,4207,1.9,100,0,"Everyone",4.03,1,0,0,"No"
"10004","The List","NEWS_AND_MAGAZINES",3.5,4939,12,10000,0,"Everyone",4.1,1,0,0,"No"
"10006","European War 6: 1804","FAMILY",4.2,728,96,10000,0.99,"Teen",4.4,0,0,1,"No"
"10007","XCOMÂ®: Enemy Within","FAMILY",4.2,806,21,1e+05,9.99,"Mature 17+",4,0,1,0,"No"
"10012","European War 5:Empire","FAMILY",3.8,5879,82,1e+05,0,"Everyone",4.03,1,0,0,"No"
"10014","Rescue Robots Survival Games","GAME",4,2621,69,5e+06,0,"Teen",4.1,0,0,1,"Yes"
"10015","Raytheon F-16 EW 360 VR","FAMILY",4.5,4686,22,500,0,"Everyone",4.4,1,0,0,"No"
"10016","Pregnant Emergency Surgery","FAMILY",3.8,606,34,1e+07,0,"Everyone",4,1,0,0,"Yes"
"10017","Eddsworld Amino","SOCIAL",4.9,2921,63,10000,0,"Teen",4.03,0,0,1,"No"
"10020","Storm Shield","WEATHER",3.5,1748,14,1e+05,0,"Everyone",5,1,0,0,"No"
"10021","EdiRange","TOOLS",3,5223,1.8,1e+05,0,"Everyone",4.03,1,0,0,"No"
"10022","TRANSFORMERS: Earth Wars","FAMILY",4.5,2417,95,1e+07,0,"Everyone",4.2,1,0,0,"Yes"
"10023","Beard Live Camera Photo Editor","BEAUTY",4.7,5745,30,5000,0,"Everyone",4.03,1,0,0,"No"
"10025","No Pimple - Fun games","FAMILY",3.3,2238,16,5e+06,0,"Teen",2.3,0,0,1,"Yes"
"10027","Web Browser for Android","COMMUNICATION",4.1,4468,4.3,1e+06,0,"Everyone",4,1,0,0,"Yes"
"10028","OMG Gross Zit - Date Nightmare","FAMILY",3.7,5102,67,1e+07,0,"Everyone",4.1,1,0,0,"Yes"
"10029","Garden Fever - Free!","FAMILY",3.9,718,12,1e+06,0,"Everyone",2.3,1,0,0,"Yes"
"10030","GO SMS PRO EMOJI PLUGIN","PERSONALIZATION",3.5,5593,8.5,5e+06,0,"Everyone",4,1,0,0,"Yes"
"10031","Bike Race - Bike Blast Rush","GAME",4.4,5571,48,1e+07,0,"Everyone",4,1,0,0,"Yes"
